n,train_error,test_error
1,0.0624124824964993,0.15403080616123224
2,0.0614122824564913,0.13342668533706742
3,0.04380876175235047,0.14482896579315863
4,0.041408281656331265,0.1294258851770354
5,0.03120624124824965,0.13902780556111222
6,0.033606721344268856,0.1300260052010402
7,0.026405281056211243,0.13962792558511702
8,0.029805961192238446,0.13102620524104822
9,0.02540508101620324,0.13622724544908982
10,0.028605721144228845,0.1298259651930386
11,0.02380476095219044,0.1360272054410882
12,0.02660532106421284,0.13162632526505302
13,0.022404480896179236,0.13522704540908181
14,0.023004600920184037,0.1328265653130626
15,0.01980396079215843,0.1342268453690738
16,0.02080416083216643,0.13102620524104822
17,0.01860372074414883,0.13242648529705942
18,0.019403880776155232,0.1302260452090418
19,0.017603520704140826,0.132626525305061
20,0.01960392078415683,0.1318263652730546
21,0.01740348069613923,0.13542708541708343
22,0.01900380076015203,0.13342668533706742
23,0.017203440688137627,0.13682736547309463
24,0.017803560712142428,0.13442688537707542
25,0.016803360672134428,0.1370274054810962
26,0.017803560712142428,0.132626525305061
27,0.015603120624124825,0.1350270054010802
28,0.016603320664132826,0.13302660532106422
29,0.015603120624124825,0.13582716543308662
30,0.016403280656131225,0.1314262852570514
31,0.015403080616123225,0.13382676535307061
32,0.016003200640128026,0.1322264452890578
33,0.014802960592118424,0.13402680536107223
34,0.015803160632126424,0.1328265653130626
35,0.014802960592118424,0.134626925385077
36,0.015603120624124825,0.133626725345069
37,0.014202840568113623,0.13542708541708343
38,0.014402880576115223,0.13442688537707542
39,0.014202840568113623,0.13582716543308662
40,0.014802960592118424,0.13522704540908181
41,0.014402880576115223,0.13582716543308662
42,0.014602920584116823,0.13622724544908982
43,0.014202840568113623,0.13682736547309463
44,0.014402880576115223,0.1360272054410882
45,0.013802760552110422,0.136627325465093
46,0.013802760552110422,0.13442688537707542
47,0.013802760552110422,0.13642728545709143
48,0.013802760552110422,0.13582716543308662
49,0.013602720544108821,0.136627325465093
50,0.014002800560112022,0.135627125425085
51,0.013802760552110422,0.13682736547309463
52,0.013802760552110422,0.13542708541708343
53,0.013802760552110422,0.13542708541708343
54,0.013802760552110422,0.13482696539307862
55,0.013602720544108821,0.135627125425085
56,0.013602720544108821,0.13482696539307862
57,0.013602720544108821,0.13522704540908181
58,0.013602720544108821,0.13442688537707542
59,0.013602720544108821,0.13542708541708343
60,0.013802760552110422,0.1350270054010802
61,0.013602720544108821,0.13442688537707542
62,0.013602720544108821,0.13382676535307061
63,0.013602720544108821,0.13442688537707542
64,0.013602720544108821,0.1342268453690738
65,0.013602720544108821,0.13442688537707542
66,0.013602720544108821,0.1342268453690738
67,0.013602720544108821,0.13522704540908181
68,0.013602720544108821,0.134626925385077
69,0.013602720544108821,0.13642728545709143
70,0.013602720544108821,0.1350270054010802
71,0.013602720544108821,0.13642728545709143
72,0.013602720544108821,0.1360272054410882
73,0.013602720544108821,0.13642728545709143
74,0.013602720544108821,0.1360272054410882
75,0.013602720544108821,0.13782756551310263
76,0.013602720544108821,0.13642728545709143
77,0.013602720544108821,0.1370274054810962
78,0.013602720544108821,0.13622724544908982
79,0.013602720544108821,0.13642728545709143
80,0.013602720544108821,0.1360272054410882
81,0.013602720544108821,0.136627325465093
82,0.013602720544108821,0.13542708541708343
83,0.013602720544108821,0.13622724544908982
84,0.013602720544108821,0.13582716543308662
85,0.013602720544108821,0.136627325465093
86,0.013602720544108821,0.13522704540908181
87,0.013602720544108821,0.13682736547309463
88,0.013602720544108821,0.13582716543308662
89,0.013602720544108821,0.136627325465093
90,0.013602720544108821,0.1350270054010802
91,0.013602720544108821,0.1360272054410882
92,0.013602720544108821,0.13542708541708343
93,0.013602720544108821,0.13582716543308662
94,0.013602720544108821,0.13542708541708343
95,0.013402680536107221,0.1360272054410882
96,0.013602720544108821,0.13522704540908181
97,0.013402680536107221,0.1360272054410882
98,0.013402680536107221,0.135627125425085
99,0.013402680536107221,0.13722744548909782
100,0.013402680536107221,0.13682736547309463
101,0.013402680536107221,0.13642728545709143
102,0.013602720544108821,0.136627325465093
103,0.013402680536107221,0.1370274054810962
104,0.013402680536107221,0.13622724544908982
105,0.013202640528105622,0.136627325465093
106,0.013402680536107221,0.136627325465093
107,0.013202640528105622,0.13622724544908982
108,0.013202640528105622,0.13622724544908982
109,0.013202640528105622,0.136627325465093
110,0.013402680536107221,0.1360272054410882
111,0.013202640528105622,0.136627325465093
112,0.013402680536107221,0.1360272054410882
113,0.013402680536107221,0.13682736547309463
114,0.013402680536107221,0.13622724544908982
115,0.013202640528105622,0.13622724544908982
116,0.013402680536107221,0.135627125425085
117,0.013402680536107221,0.13642728545709143
118,0.013402680536107221,0.1360272054410882
119,0.013202640528105622,0.13642728545709143
120,0.013402680536107221,0.13542708541708343
121,0.013202640528105622,0.13582716543308662
122,0.013202640528105622,0.13542708541708343
123,0.013202640528105622,0.13582716543308662
124,0.013202640528105622,0.13582716543308662
125,0.013202640528105622,0.13582716543308662
126,0.013202640528105622,0.1350270054010802
127,0.013202640528105622,0.13582716543308662
128,0.013202640528105622,0.1350270054010802
129,0.013202640528105622,0.13682736547309463
130,0.013402680536107221,0.1360272054410882
131,0.013202640528105622,0.13682736547309463
132,0.013202640528105622,0.1360272054410882
133,0.013202640528105622,0.13722744548909782
134,0.013202640528105622,0.136627325465093
135,0.013202640528105622,0.13762752550510102
136,0.013202640528105622,0.136627325465093
137,0.013202640528105622,0.13822764552910582
138,0.013202640528105622,0.1380276055211042
139,0.013202640528105622,0.13822764552910582
140,0.013202640528105622,0.13762752550510102
141,0.013202640528105622,0.13862772554510902
142,0.013202640528105622,0.13782756551310263
143,0.013202640528105622,0.13882776555311063
144,0.013202640528105622,0.1380276055211042
145,0.013202640528105622,0.13882776555311063
146,0.013202640528105622,0.13722744548909782
147,0.013202640528105622,0.1380276055211042
148,0.013202640528105622,0.13722744548909782
149,0.013202640528105622,0.13762752550510102
150,0.013202640528105622,0.13722744548909782
151,0.013202640528105622,0.13762752550510102
152,0.013202640528105622,0.13762752550510102
153,0.013202640528105622,0.1380276055211042
154,0.013202640528105622,0.1380276055211042
155,0.013202640528105622,0.13902780556111222
156,0.013202640528105622,0.13862772554510902
157,0.013202640528105622,0.13902780556111222
158,0.013202640528105622,0.1380276055211042
159,0.013202640528105622,0.13902780556111222
160,0.013202640528105622,0.1384276855371074
161,0.013202640528105622,0.1380276055211042
162,0.013202640528105622,0.13762752550510102
163,0.013202640528105622,0.1380276055211042
164,0.013202640528105622,0.1370274054810962
165,0.013202640528105622,0.13722744548909782
166,0.013202640528105622,0.1370274054810962
167,0.013202640528105622,0.13762752550510102
168,0.013202640528105622,0.13722744548909782
169,0.013202640528105622,0.1384276855371074
170,0.013202640528105622,0.13902780556111222
171,0.013202640528105622,0.13822764552910582
172,0.013202640528105622,0.13762752550510102
173,0.013202640528105622,0.1384276855371074
174,0.013202640528105622,0.13782756551310263
175,0.013202640528105622,0.1380276055211042
176,0.013202640528105622,0.13762752550510102
177,0.013202640528105622,0.13822764552910582
178,0.013202640528105622,0.13722744548909782
179,0.013202640528105622,0.1384276855371074
180,0.013202640528105622,0.13742748549709943
181,0.013202640528105622,0.1384276855371074
182,0.013202640528105622,0.13862772554510902
183,0.013202640528105622,0.13822764552910582
184,0.013202640528105622,0.13742748549709943
185,0.013202640528105622,0.13782756551310263
186,0.013202640528105622,0.13722744548909782
187,0.013202640528105622,0.13742748549709943
188,0.013202640528105622,0.13742748549709943
189,0.013202640528105622,0.13762752550510102
