n,train_error,test_error
1,0.11922384476895379,0.1248249649929986
2,0.11922384476895379,0.1248249649929986
3,0.11922384476895379,0.1248249649929986
4,0.11922384476895379,0.1248249649929986
5,0.11242248449689939,0.11742348469693939
6,0.11242248449689939,0.11742348469693939
7,0.11662332466493298,0.1194238847769554
8,0.11502300460092019,0.11902380476095219
9,0.11562312462492498,0.1184236847369474
10,0.11282256451290258,0.11622324464892979
11,0.10982196439287857,0.11202240448089618
12,0.10982196439287857,0.11202240448089618
13,0.10722144428885777,0.10922184436887378
14,0.10742148429685937,0.11002200440088018
15,0.10802160432086418,0.11022204440888178
16,0.10622124424884977,0.10862172434486897
17,0.10602120424084817,0.10762152430486097
18,0.10542108421684337,0.10842168433686737
19,0.10442088417683537,0.10742148429685937
20,0.10502100420084017,0.10802160432086418
21,0.10402080416083216,0.10702140428085617
22,0.10402080416083216,0.10682136427285457
23,0.10362072414482897,0.10762152430486097
24,0.10402080416083216,0.10722144428885777
25,0.10482096419283857,0.10782156431286258
26,0.10382076415283056,0.10902180436087218
27,0.10382076415283056,0.10662132426485298
28,0.10462092418483697,0.10822164432886577
29,0.10382076415283056,0.10662132426485298
30,0.10462092418483697,0.10682136427285457
31,0.10502100420084017,0.10682136427285457
32,0.10422084416883377,0.10682136427285457
33,0.10502100420084017,0.10682136427285457
34,0.10462092418483697,0.10702140428085617
35,0.10602120424084817,0.10702140428085617
36,0.10562112422484497,0.10762152430486097
37,0.10582116423284657,0.10662132426485298
38,0.10442088417683537,0.10722144428885777
39,0.10482096419283857,0.10662132426485298
40,0.10482096419283857,0.10682136427285457
41,0.10402080416083216,0.10762152430486097
42,0.10402080416083216,0.10742148429685937
43,0.10422084416883377,0.10762152430486097
44,0.10462092418483697,0.10782156431286258
45,0.10382076415283056,0.10742148429685937
46,0.10382076415283056,0.10722144428885777
47,0.10402080416083216,0.10682136427285457
48,0.10382076415283056,0.10702140428085617
49,0.10362072414482897,0.10662132426485298
50,0.10362072414482897,0.10642128425685136
51,0.10382076415283056,0.10602120424084817
52,0.10362072414482897,0.10642128425685136
53,0.10402080416083216,0.10662132426485298
54,0.10362072414482897,0.10642128425685136
55,0.10442088417683537,0.10602120424084817
56,0.10442088417683537,0.10622124424884977
57,0.10402080416083216,0.10642128425685136
58,0.10442088417683537,0.10642128425685136
59,0.10382076415283056,0.10642128425685136
60,0.10402080416083216,0.10642128425685136
61,0.10382076415283056,0.10662132426485298
62,0.10382076415283056,0.10662132426485298
63,0.10402080416083216,0.10722144428885777
64,0.10362072414482897,0.10722144428885777
65,0.10362072414482897,0.10762152430486097
66,0.10402080416083216,0.10722144428885777
67,0.10382076415283056,0.10722144428885777
68,0.10402080416083216,0.10702140428085617
69,0.10382076415283056,0.10722144428885777
70,0.10402080416083216,0.10702140428085617
71,0.10342068413682737,0.10702140428085617
72,0.10382076415283056,0.10702140428085617
73,0.10382076415283056,0.10742148429685937
74,0.10382076415283056,0.10702140428085617
75,0.10402080416083216,0.10702140428085617
76,0.10382076415283056,0.10702140428085617
77,0.10402080416083216,0.10702140428085617
