metric,max_depth,train_error,test_error
infogain,1,0.11922384476895379,0.1248249649929986
infogain,2,0.10602120424084817,0.11142228445689138
infogain,3,0.10222044408881777,0.10882176435287057
infogain,4,0.08761752350470094,0.11782356471294259
infogain,5,0.06981396279255851,0.1228245649129826
infogain,6,0.05601120224044809,0.1304260852170434
infogain,7,0.04440888177635527,0.13442688537707542
infogain,8,0.03660732146429286,0.13542708541708343
infogain,9,0.030406081216243247,0.14122824564912984
infogain,10,0.02440488097619524,0.14422884576915382
infogain,11,0.020604120824164834,0.14482896579315863
infogain,12,0.01820364072814563,0.14622924584916983
infogain,13,0.01800360072014403,0.14622924584916983
infogain,14,0.01800360072014403,0.14622924584916983
infogain,15,0.01800360072014403,0.14622924584916983
infogain,16,0.01800360072014403,0.14622924584916983
majerr,1,0.10882176435287057,0.11662332466493298
majerr,2,0.10502100420084017,0.11022204440888178
majerr,3,0.09761952390478096,0.11362272454490899
majerr,4,0.08661732346469293,0.11582316463292658
majerr,5,0.07801560312062412,0.11722344468893779
majerr,6,0.07261452290458091,0.11742348469693939
majerr,7,0.0680136027205441,0.1218243648729746
majerr,8,0.0614122824564913,0.1284256851370274
majerr,9,0.05321064212842568,0.13542708541708343
majerr,10,0.04740948189637927,0.13822764552910582
majerr,11,0.041408281656331265,0.14282856571314262
majerr,12,0.03580716143228646,0.14562912582516505
majerr,13,0.029805961192238446,0.15003000600120023
majerr,14,0.02460492098419684,0.15443088617723544
majerr,15,0.02080416083216643,0.15663132626525306
majerr,16,0.01800360072014403,0.15763152630526106
gini,1,0.10882176435287057,0.11662332466493298
gini,2,0.10522104420884176,0.11042208441688338
gini,3,0.10102020404080816,0.10822164432886577
gini,4,0.08821764352870574,0.11542308461692338
gini,5,0.07201440288057612,0.12122424484896979
gini,6,0.05621124224844969,0.12962592518503702
gini,7,0.04440888177635527,0.13522704540908181
gini,8,0.03540708141628326,0.13722744548909782
gini,9,0.02960592118423685,0.14162832566513303
gini,10,0.023604720944188837,0.14482896579315863
gini,11,0.020004000800160033,0.14422884576915382
gini,12,0.01840368073614723,0.14582916583316663
gini,13,0.01800360072014403,0.14582916583316663
gini,14,0.01800360072014403,0.14582916583316663
gini,15,0.01800360072014403,0.14582916583316663
gini,16,0.01800360072014403,0.14582916583316663
